# TEMP playable objective sequence; id|title|objective|trigger|x|y|amount|entry dialogue
P001|죽은 자가 걷는 마을|마을 아이에게 동생의 행방을 묻기|villager|-100|90|1|사람이 죽으면 무엇이 남는가. 몸은 흙으로 돌아간다. 그러나 어떤 감정은… 돌아가지 않는다.
P002|공동묘지로 가는 길|마을 밖에서 적 3마리를 처치하기|kills|548|256|3|공동묘지 근처에서 봤다는 사람이 있더군. 길을 따라가되 어둠 속의 움직임을 조심해.
P003|집에 가야 하는데|공동묘지 입구 조사하기|reach|1024|256|1|실종자로 보이는 사람이 중얼거린다. “집에 가야 하는데….”
P004|저주를 보는 눈|입구에 나타난 라엔과 대화하기|guide|1024|256|1|라엔: 그렇게 때려서는 안 죽어. 네 눈에는 저게 사람으로 보이나?
P005|최초의 봉인|적을 약화시킨 뒤 E로 첫 주령 포획하기|capture|1070|0|1|라엔: 죽이지 마. 이걸 써. 낡은 봉인권 1장을 받았다. 첫 포획은 반드시 성공한다.
P006|붙잡는 손|포획한 주령의 능력을 V로 사용하기|skill|1100|0|1|눈 오는 공동묘지. 부모를 기다리던 아이에게 아무도 돌아오지 않았다. 남겨진 자의 기억이 스며든다.
P007|울음 먹는 자|공동묘지의 울음 먹는 자 처치하기|boss|1200|0|1|라엔: 네 곁의 주령에게도 의지가 있어. 붙잡는 손으로 움직임을 늦춰 봐.
P008|사라진 동생의 방|벨른 마을로 돌아가 아이와 대화하기|villager|-100|90|1|“실종? 무슨 소리야?” 동생의 방은 사라졌다. “너는 외동이야.” 라엔만이 동생을 기억한다.
C100|라엔의 거점|거점의 라엔과 대화하기|guide|150|-100|1|그 녀석이 널 받아들였군. 여기서는 주령의 기록과 장비를 정리할 수 있어.
C102|목 없는 순례자|수도원 길에서 주령을 추가 포획하기|capture|1584|0|1|봉인권 3장을 받았다. 같은 주령도 다른 기억과 성향을 가질 수 있다. 포획 대상을 신중하게 골라.
C104|수도원 외곽 파밍|수도원 주변에서 적 3마리를 처치하기|kills|2048|256|3|정화하면 재료를 얻고, 봉인권을 쓰면 동료를 얻는다. 필요한 것을 생각하며 싸워.
C105|수도원 수호자|수도원 외곽 수호자 처치하기|elite|2200|0|1|일부 강한 적은 봉인권을 떨어뜨린다. 보라색 주령석은 동료를 성장시킬 수 있다.
C106|기도하는 손|수도원 안쪽에서 주령 추가 포획하기|capture|2560|256|1|기도하는 손이 어둠 속에서 떠오른다. 봉인권이 없다면 지금은 정화하거나 다음 기회를 기다려야 한다.
C107|눈먼 수도사|눈먼 수도사 처치하기|monk|2700|0|1|눈먼 수도사는 주령의 힘을 봉쇄한다. 네 자신의 힘으로 맞서야 한다.
C108|기도하지 않는 성자|성자를 약화시켜 포획하거나 정화하기|saint|3200|0|1|기도가 멎은 예배당. 체력이 10% 이하가 되면 고급 봉인권으로 봉인을 시도할 수 있다.
C109|검게 변한 성유물|성유물 앞에서 라엔과 대화하기|guide|3320|0|1|“일곱 번째 종이 울리는 날, 문이 열린다.” 라엔: 이 문장을… 내가 왜 알고 있지?
